generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
13,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
14,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
14,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
15,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
15,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
16,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
16,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
17,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
17,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
18,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
18,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
19,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
19,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
0,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,0.6931471805599441,0.0
0,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,0.9899409166847176,0.0
1,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790687318076032,0.0
1,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822749913161731,1.3594384586432318e-183
2,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141295,0.0
2,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197299862,2.9630959486547017e-183
3,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
3,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.963096037866164e-183
4,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
4,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
5,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
5,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
6,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
6,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
7,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
7,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
8,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
8,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
9,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
9,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
10,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
10,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
11,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
11,1,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.3822754197300108,2.96309603786617e-183
12,0,0.0873383218223026,1.6299112895252934e-06,11.16760119110021,-0.6790691615141542,0.0
