source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,n_inputs,n_outputs,coverage,vocabulary_size,n_outputs_never_received,n_inputs_representable,self_transmission_mean,self_transmission_median,self_transmission_max,n_survive_above_0.5,n_survive_above_0.25,n_survive_above_0.1,most_faithful_belief,n_prototypes,basin_1_belief,basin_1_share,basin_2_belief,basin_2_share,basin_3_belief,basin_3_share
uniform,3,21,20,2.48,4.625077210490507,0.7053574623257535,9261,8000,0.9,223,7777,8000,0.010279271918792998,0.0,0.8175485322106791,21,131,284,"(14, 1, 1)",257,"(14, 13, 13)",0.020516142965122556,"(10, 14, 13)",0.02008422416585682,"(14, 10, 13)",0.02008422416585682
uniform,3,21,20,3.466,5.18201993070619,0.5151186695258578,9261,8000,0.9,313,7687,8000,0.016022197025248423,0.0,0.8404872634206642,63,207,378,"(1, 1, 1)",288,"(14, 14, 14)",0.03574128063923982,"(11, 15, 11)",0.019328366267141777,"(15, 11, 11)",0.019328366267141777
uniform,3,21,20,4.843,5.750302859357559,0.3759002544398143,9261,8000,0.9,441,7559,8000,0.024589935889917078,0.0,0.8764920867252171,68,344,600,"(1, 16, 2)",447,"(12, 15, 15)",0.01695281287118022,"(15, 12, 15)",0.01695281287118022,"(15, 15, 12)",0.01695281287118022
uniform,3,21,20,6.767,6.35157667199576,0.2704030241386756,9261,8000,0.9,619,7381,8000,0.03833108152092659,0.0,0.9575979607954118,109,581,943,"(1, 1, 1)",722,"(15, 15, 16)",0.008962315084764064,"(15, 16, 13)",0.008422416585681892,"(16, 13, 15)",0.008422416585681892
uniform,3,21,20,9.457,6.955671409071957,0.19483422416904161,9261,8000,0.9,1036,6964,8000,0.05955301143798106,0.0,0.991246303939438,192,853,1442,"(1, 1, 1)",1124,"(16, 16, 16)",0.010366051182377713,"(16, 14, 16)",0.008962315084764064,"(14, 16, 16)",0.008962315084764064
uniform,3,21,20,13.215,7.582820215528679,0.13837698263832848,9261,8000,0.9,1354,6646,8000,0.0918026537104168,0.0,0.9993213658405073,320,1454,2083,"(1, 1, 1)",1626,"(17, 16, 17)",0.004967066191555987,"(16, 17, 17)",0.003239390994493035,"(17, 8, 17)",0.002807472195227297
uniform,3,21,20,18.467,8.215653017667373,0.09779747551366524,9261,8000,0.9,2166,5834,8000,0.139825601538198,1.50666e-318,0.9999797894258913,556,2144,3044,"(1, 1, 1)",2636,"(17, 17, 17)",0.00550696469063816,"(5, 17, 17)",0.002807472195227297,"(17, 17, 5)",0.002807472195227297
uniform,3,21,20,25.806,8.866213537706502,0.06781771775180495,9261,8000,0.9,2906,5094,8000,0.208765640438854,0.08133898401518241,0.9999998455087927,1159,3216,3908,"(1, 1, 1)",3412,"(18, 1, 18)",0.0018356548968793867,"(1, 18, 18)",0.0018356548968793867,"(18, 18, 1)",0.0018356548968793867
uniform,3,21,20,36.062,9.5213345852807,0.04630208704430693,9261,8000,0.9,4164,3836,8000,0.30436160798558004,0.3196360547701438,0.9999999998250145,1966,4460,5270,"(1, 1, 1)",4553,"(18, 18, 14)",0.0011877766979807797,"(8, 18, 18)",0.0011877766979807797,"(14, 18, 18)",0.0011877766979807797
uniform,3,21,20,50.394,10.182123008625037,0.03070666829224861,9261,8000,0.9,5031,2969,8000,0.42439341021070953,0.4659656235745888,0.9999999999999866,3564,5691,6167,"(1, 1, 1)",5694,"(15, 9, 19)",0.0008638375985314761,"(9, 15, 19)",0.0008638375985314761,"(15, 19, 9)",0.0008638375985314761
