source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,coverage,source_precision,source_min_precision,channel,expected_precision,precision_sd,min_precision,max_precision,vocabulary_size,min_precision_at_0.5,vocabulary_size_at_0.5,min_precision_at_0.9,vocabulary_size_at_0.9,min_precision_at_0.99,vocabulary_size_at_0.99,min_precision_at_0.999,vocabulary_size_at_0.999
decreasing,3,21,20,3.466,5.284376662423582,0.5552463301244863,0.99,23.156634420735507,3.0,"decreasing, max_val=21",20.47963155617269,5.597179594203541,3,31,391,7,110,3,284,3,391,3,424
decreasing,3,21,20,4.843,5.9411497302391005,0.3942606094181914,0.99,23.156634420735507,3.0,"decreasing, max_val=21",21.228132988565516,6.537346959352218,3,35,622,7,186,3,471,3,622,3,677
decreasing,3,21,20,6.767,6.625875437151509,0.2742936119745888,0.99,23.156634420735507,3.0,"decreasing, max_val=21",21.750239721612836,7.340060143072648,3,39,1079,6,334,3,827,3,1079,3,1150
decreasing,3,21,20,9.457,7.302523292896253,0.1892741746446746,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.141832059222647,7.958437823636351,3,42,1647,3,498,3,1254,3,1647,3,1774
decreasing,3,21,20,13.215,7.963261585535514,0.1299219320872889,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.43309731845786,8.40831019296989,3,45,2360,3,696,3,1799,3,2360,3,2548
decreasing,3,21,20,18.467,8.619932633807853,0.087707200053174,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.640585497902457,8.731619275538284,3,48,3237,3,981,3,2450,3,3237,3,3472
decreasing,3,21,20,25.806,9.27425818718426,0.0575843134196682,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.797713151538595,8.979140418794069,3,51,4089,3,1166,3,3127,3,4089,3,4372
decreasing,3,21,20,36.062,9.917382183514054,0.0363831439342797,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.914638926314492,9.164694040571934,3,52,5277,3,1361,3,3886,3,5277,3,5609
decreasing,3,21,20,50.394,10.5295849245842,0.0219315638193192,0.99,23.156634420735507,3.0,"decreasing, max_val=21",22.991488165218765,9.283655514132166,3,54,6135,3,1425,3,4513,3,6135,3,6677
decreasing,3,21,20,70.421,11.088535571680168,0.0124766684536949,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.03317210069954,9.347731094959892,3,54,6793,3,1459,3,4875,3,6793,3,7334
decreasing,3,21,20,98.407,11.57207031177627,0.0066082732572575,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.05957044370952,9.389440691702497,3,57,7283,3,1479,3,5087,3,7283,3,7790
decreasing,3,21,20,137.515,11.939169192419618,0.0034067081340054,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.069510242340407,9.402651753993052,3,52,7363,3,1494,3,5132,3,7363,3,7858
decreasing,3,21,20,192.166,12.176332400599414,0.0019194982377501,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.072485962247683,9.405108017229596,3,51,7386,3,1504,3,5157,3,7386,3,7872
decreasing,3,21,20,268.535,12.306295954891205,0.0013339294408085,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.07317144304138,9.405092691409934,3,50,7394,3,1511,3,5169,3,7394,3,7886
decreasing,3,21,20,375.254,12.3693425329873,0.0011301509521735,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.07323060112546,9.404686473216737,3,50,7395,3,1514,3,5174,3,7395,3,7895
decreasing,3,21,20,524.385,12.39788244641479,0.0010640515628953,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.073161259953046,9.404325861277758,3,49,7394,3,1516,3,5175,3,7394,3,7901
decreasing,3,21,20,732.783,12.410228485638898,0.0010435649442073,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.07309300054209,9.40408763740961,3,50,7392,3,1516,3,5174,3,7392,3,7903
decreasing,3,21,20,1024.0,12.415330374513212,0.0010375001823458,0.99,23.156634420735507,3.0,"decreasing, max_val=21",23.073048326375492,9.403959797985648,3,50,7391,3,1516,3,5173,3,7391,3,7905
uniform,3,21,20,0.087,1.6129245128324532e-13,11.167600255764905,0.99,33.00000000000003,3.0,"uniform, max_val=21",12.000000000132252,1.9898399100503915e-05,12,12,1,12,1,12,1,12,1,12,1
uniform,3,21,20,0.122,4.361581043116298e-13,11.167600255756303,0.99,33.00000000000003,3.0,"uniform, max_val=21",12.000000000011704,3.477869457315575e-06,12,12,1,12,1,12,1,12,1,12,1
uniform,3,21,20,0.062,2.4434549141531578e-11,11.167600258145637,0.99,33.00000000000003,3.0,"uniform, max_val=21",12.000000040352566,0.0003479233012045,12,12,1,12,1,12,1,12,1,12,1
uniform,3,21,20,0.171,0.1239584335229856,10.41675257728478,0.99,33.00000000000003,3.0,"uniform, max_val=21",12.19416254109912,0.5921367993524841,12,14,4,12,1,12,1,12,4,12,4
uniform,3,21,20,0.238,0.8045613334584265,6.9980952963244585,0.99,33.00000000000003,3.0,"uniform, max_val=21",15.052099418961555,0.6567659506866398,14,16,10,15,1,14,6,14,10,14,10
uniform,3,21,20,0.333,1.37960791021881,4.917369161028162,0.99,33.00000000000003,3.0,"uniform, max_val=21",17.792310386135476,2.738824645500536,13,21,10,16,3,16,7,13,10,13,10
uniform,3,21,20,0.465,1.916481924960507,3.5603010750541184,0.99,33.00000000000003,3.0,"uniform, max_val=21",20.706817969443193,2.7945667354038677,15,24,28,20,4,16,19,15,28,15,31
uniform,3,21,20,0.65,2.4794417237441344,2.53396776148339,0.99,33.00000000000003,3.0,"uniform, max_val=21",22.955101605983103,3.1010196672088712,16,27,31,22,5,16,19,16,31,13,39
uniform,3,21,20,0.909,3.03046675255305,1.8157463473073268,0.99,33.00000000000003,3.0,"uniform, max_val=21",24.634819478610147,4.271363892257328,15,31,88,24,14,16,54,15,88,14,98
uniform,3,21,20,1.27,3.572198710051056,1.3089867579404644,0.99,33.00000000000003,3.0,"uniform, max_val=21",26.38912455376333,4.75245991541287,14,34,122,21,24,19,80,14,122,14,138
uniform,3,21,20,1.775,4.097939263849469,0.9579806815535462,0.99,33.00000000000003,3.0,"uniform, max_val=21",27.6766985557151,5.570107047879112,6,37,198,23,37,17,137,6,198,5,226
uniform,3,21,20,2.48,4.625077210490507,0.7053574623257535,0.99,33.00000000000003,3.0,"uniform, max_val=21",28.69561666304623,5.89589306984649,7,40,297,22,79,18,223,7,297,5,321
uniform,3,21,20,3.466,5.18201993070619,0.5151186695258578,0.99,33.00000000000003,3.0,"uniform, max_val=21",29.81865869110412,6.360203786422727,7,42,443,26,88,10,313,7,443,3,502
uniform,3,21,20,4.843,5.750302859357559,0.3759002544398143,0.99,33.00000000000003,3.0,"uniform, max_val=21",30.44516185492709,7.065509536669205,7,44,657,27,145,16,441,7,657,3,740
uniform,3,21,20,6.767,6.35157667199576,0.2704030241386756,0.99,33.00000000000003,3.0,"uniform, max_val=21",31.31654160155506,7.798523489411183,6,46,945,24,212,15,619,6,945,3,1052
uniform,3,21,20,9.457,6.955671409071957,0.1948342241690416,0.99,33.00000000000003,3.0,"uniform, max_val=21",31.681857518838704,8.315431327438974,3,48,1578,22,328,13,1036,3,1578,3,1732
uniform,3,21,20,13.215,7.582820215528679,0.1383769826383284,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.11148441116822,8.910308694434727,3,51,2077,27,441,11,1354,3,2077,3,2228
uniform,3,21,20,18.467,8.215653017667373,0.0977974755136652,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.33047144804229,9.277680324436208,3,52,3063,20,802,10,2166,3,3063,3,3266
uniform,3,21,20,25.806,8.866213537706502,0.0678177177518049,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.548460575123336,9.64226722928466,3,54,3923,22,755,3,2906,3,3923,3,4193
uniform,3,21,20,36.062,9.5213345852807,0.0463020870443069,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.66977348385801,9.860059004791696,3,55,5213,17,1349,3,4164,3,5213,3,5466
uniform,3,21,20,50.394,10.182123008625036,0.0307066682922486,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.774313081048405,10.085176742473749,3,57,6146,18,1602,3,5031,3,6146,3,6455
uniform,3,21,20,70.421,10.835257654161149,0.0197024147273237,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.7810671832232,10.145632910544196,3,57,6965,17,2109,3,5810,3,6965,3,7261
uniform,3,21,20,98.407,11.49319768900839,0.0117388357598866,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.794273323835675,10.241131874920653,3,60,7645,17,2828,3,6560,3,7645,3,7841
uniform,3,21,20,137.515,12.043590145844597,0.0069508297714365,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.751847914717516,10.22442663500508,3,60,7721,3,3042,3,6761,3,7721,3,7872
uniform,3,21,20,192.166,12.427026023711672,0.0045502594736068,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.7135942646045,10.191045793679445,3,60,7782,3,3181,3,6891,3,7782,3,7911
uniform,3,21,20,268.535,12.649674982143516,0.0035488689075123,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.69034991491008,10.166919869266588,3,60,7832,3,3268,3,6974,3,7832,3,7952
uniform,3,21,20,375.254,12.768075554858491,0.003167476512129,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.677295935678934,10.150901120586504,3,60,7869,3,3322,3,7027,3,7869,3,7978
uniform,3,21,20,524.385,12.831026755674376,0.0030224479186923,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.67000667416285,10.140845211259805,3,60,7891,3,3350,3,7054,3,7891,3,7986
uniform,3,21,20,732.783,12.864847667578935,0.0029666736520709,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.66595059184353,10.1349593532301,3,60,7901,3,3363,3,7067,3,7901,3,7989
uniform,3,21,20,1024.0,12.882310367103226,0.002946026712387,0.99,33.00000000000003,3.0,"uniform, max_val=21",32.66382154562043,10.131971677516091,3,60,7906,3,3368,3,7072,3,7906,3,7991
uniform,3,22,20,0.122,1.6178120104952818e-11,11.63872000425715,0.99,34.500000000000014,3.0,"uniform, max_val=22",12.00000000064549,3.407427385277643e-05,12,12,1,12,1,12,1,12,1,12,1
uniform,3,22,20,0.087,2.6315819462138172e-11,11.638720005137944,0.99,34.500000000000014,3.0,"uniform, max_val=22",12.000000021998316,0.0002568846418912,12,12,1,12,1,12,1,12,1,12,1
uniform,3,22,20,0.062,9.512710414440748e-10,11.638720072673724,0.99,34.500000000000014,3.0,"uniform, max_val=22",12.00000153334284,0.002144758895658,12,12,1,12,1,12,1,12,1,12,1
uniform,3,22,20,0.171,0.1866815113588079,10.487774239814067,0.99,34.500000000000014,3.0,"uniform, max_val=22",12.289670608003474,0.703869416060851,12,14,4,12,1,12,2,12,4,12,4
uniform,3,22,20,0.238,0.948753197924967,6.683485105582037,0.99,34.500000000000014,3.0,"uniform, max_val=22",16.966393966278876,1.1500072585801022,14,18,9,18,1,16,4,14,9,14,10
uniform,3,22,20,0.333,1.4542581702114843,4.899456829489906,0.99,34.500000000000014,3.0,"uniform, max_val=22",19.021369072150385,2.041526335035992,14,21,16,18,2,14,8,14,16,14,16
uniform,3,22,20,0.465,1.9659329997905397,3.6059515548138665,0.99,34.500000000000014,3.0,"uniform, max_val=22",21.157147628812034,2.597990417586817,15,24,24,20,4,15,15,15,24,15,25
uniform,3,22,20,0.65,2.5437772525396354,2.5432370891037284,0.99,34.500000000000014,3.0,"uniform, max_val=22",23.840096804108676,3.5059331230798136,17,30,47,22,9,17,28,17,47,17,52
uniform,3,22,20,0.909,3.108898835086357,1.8074162856130975,0.99,34.500000000000014,3.0,"uniform, max_val=22",26.019445505567337,4.385390881073266,16,33,106,25,17,17,70,16,106,14,115
uniform,3,22,20,1.27,3.6376186429512343,1.3136768266698515,0.99,34.500000000000014,3.0,"uniform, max_val=22",27.477903731249533,5.287168593740682,15,36,148,25,29,17,91,15,148,3,167
uniform,3,22,20,1.775,4.164645821898383,0.9603021539725712,0.99,34.500000000000014,3.0,"uniform, max_val=22",28.81444724947805,5.725519582299833,6,39,185,26,43,20,123,6,185,5,209
uniform,3,22,20,3.466,5.246210495641458,0.5177626904436288,0.99,34.500000000000014,3.0,"uniform, max_val=22",31.05859527571741,6.878501907922528,8,44,525,27,88,12,342,8,525,3,602
uniform,3,22,20,4.843,5.824108171424349,0.3758449167127972,0.99,34.500000000000014,3.0,"uniform, max_val=22",31.953095375643606,7.390648926558585,9,46,655,29,153,17,461,9,655,3,735
uniform,3,22,20,6.767,6.42119774040016,0.2714257470241809,0.99,34.500000000000014,3.0,"uniform, max_val=22",32.67287148554715,8.11012066563617,6,48,1208,23,240,12,808,6,1208,3,1316
uniform,3,22,20,9.457,7.017646621182476,0.1963845402923573,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.01079650668228,8.623338777758276,3,51,1515,26,334,14,967,3,1515,3,1702
uniform,3,22,20,13.215,7.6598200350733,0.1386942742793674,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.61150963130451,9.377916041701903,3,52,2572,24,516,13,1722,3,2572,3,2780
uniform,3,22,20,18.467,8.282279369904622,0.098704761824995,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.73224998107378,9.65320256505392,3,54,3515,21,672,11,2458,3,3515,3,3786
uniform,3,22,20,25.806,8.927401883273534,0.0689506128360732,0.99,34.500000000000014,3.0,"uniform, max_val=22",34.02568513846539,10.136646725310571,3,57,4233,23,885,3,3046,3,4233,3,4545
uniform,3,22,20,36.062,9.539854235534024,0.0487964917176899,0.99,34.500000000000014,3.0,"uniform, max_val=22",34.01723379121491,10.240530159480564,3,58,5298,22,1061,3,4053,3,5298,3,5596
uniform,3,22,20,50.394,10.17726237037605,0.033757690770545,0.99,34.500000000000014,3.0,"uniform, max_val=22",34.10532351190874,10.50621048615631,3,60,6157,20,1515,3,5026,3,6157,3,6362
uniform,3,22,20,70.421,10.789291171110143,0.0234268807317682,0.99,34.500000000000014,3.0,"uniform, max_val=22",34.03146681355397,10.52506947039742,3,60,6677,19,1531,3,5509,3,6677,3,6950
uniform,3,22,20,98.407,11.381301234882072,0.0162713043361947,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.91711879346295,10.45218337341514,3,60,7191,17,1833,3,6022,3,7191,3,7472
uniform,3,22,20,137.515,11.904611955639709,0.0117250671911702,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.81324658515139,10.367727915340971,3,60,7526,19,2161,3,6418,3,7526,3,7726
uniform,3,22,20,192.166,12.284051752779158,0.0093518458229031,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.74341321885645,10.305811814234906,3,60,7684,18,2397,3,6658,3,7684,3,7836
uniform,3,22,20,268.535,12.51230541194774,0.0083262571034172,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.70407158480715,10.269327036468088,3,60,7759,18,2515,3,6775,3,7759,3,7893
uniform,3,22,20,375.254,12.63993066778542,0.0079158474926294,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.68189957362898,10.246357770316513,3,60,7819,20,2591,3,6851,3,7819,3,7947
uniform,3,22,20,524.385,12.712198045842428,0.0077496405319959,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.66883112443546,10.230814103077847,3,60,7860,20,2640,3,6899,3,7860,3,7976
uniform,3,22,20,732.783,12.753207726221886,0.0076821021165475,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.661369811717925,10.221466514901117,3,60,7882,20,2664,3,6923,3,7882,3,7985
uniform,3,22,20,1024.0,12.775537447254738,0.0076557428032413,0.99,34.500000000000014,3.0,"uniform, max_val=22",33.657374205977895,10.216720629918273,3,60,7890,20,2673,3,6932,3,7890,3,7988
