generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
14,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.01223454156415185,0.0
14,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641304,0.0
15,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151847,0.0
15,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413027,0.0
16,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151845,0.0
16,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641302,0.0
17,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151841,0.0
17,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641301,0.0
18,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.01223454156415184,0.0
18,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413004,0.0
19,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151836,0.0
19,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413016,0.0
0,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.6931471805599441,0.0
0,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.9899409166847176,0.0
1,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234621687576584,0.0
1,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591162487929,0.0
2,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334898,0.0
2,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787536,0.0
3,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334969,0.0
3,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875373,0.0
4,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334967,0.0
4,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787537,0.0
5,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334964,0.0
5,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875346,0.0
6,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.01223462972033496,0.0
6,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875346,0.0
7,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334959,0.0
7,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787533,0.0
8,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334955,0.0
8,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787533,0.0
9,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334953,0.0
9,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875334,0.0
