generation,timestep,channel_beta,rate,distortion,reweighting_temp,expected_true_probs_surprisal,prop_max_hit
12,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
12,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
13,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
13,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
14,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
14,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
15,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
15,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
16,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
16,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
17,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
17,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
18,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
18,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
19,0,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.6790644199134167,0.0
19,1,0.0625,2.4434549141531578e-11,11.167600258145637,0.1,-0.38227068378861273,0.0
0,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,0.6931471805599441,0.0
0,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,0.9899409166847176,0.0
1,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644192457981,0.0
1,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.38227068312100065,0.0
2,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
2,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
3,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
3,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
4,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
4,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
5,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
5,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
6,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
6,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
7,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
7,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
8,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
8,1,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.3822706837886227,0.0
9,0,0.0625,2.4434549141531578e-11,11.167600258145637,1.2000000000000002,-0.6790644199134277,0.0
